Coin,Time Frame,Frequency,Seasonal Strength
DOGE,1d,7,0.356500913306785
DOGE,1d,30,0.33377470736277304
DOGE,1d,90,0.32424449518654996
DOGE,1d,365,0.8570691858044208
MATIC,1m,60,0.37474300400697824
MATIC,1m,120,0.3747948971631868
MATIC,15m,4,0.33471681182239754
MATIC,15m,96,0.3934163994694211
MATIC,4h,6,0.336082827679549
MATIC,4h,42,0.34508952738366405
MATIC,4h,180,0.570982088390367
MATIC,1d,7,0.308213655583077
MATIC,1d,30,0.3491604355961788
MATIC,1d,90,0.35051332806667257
MATIC,1d,365,0.8428282630074115
LINK,1m,60,0.3709791298332906
LINK,1m,120,0.3505239784880907
LINK,15m,4,0.3173896572508218
LINK,15m,96,0.39441767034970965
LINK,4h,6,0.28733082298757484
LINK,4h,42,0.37331100608420675
LINK,4h,180,0.5744023608205924
LINK,1d,7,0.36256396152722503
LINK,1d,30,0.37392674713343876
LINK,1d,90,0.3716602557665104
LINK,1d,365,0.8037859280666033
ETC,1m,60,0.38092270492698765
ETC,1m,120,0.37419372909978155
ETC,15m,4,0.34279338547480975
ETC,15m,96,0.32797256041533185
ETC,4h,6,0.3242808428304721
ETC,4h,42,0.3565661622098457
ETC,4h,180,0.5454759562050087
ETC,1d,7,0.33011315233200544
ETC,1d,30,0.36357018697922205
ETC,1d,90,0.34816959212999854
ETC,1d,365,0.826229517171258
XLM,1m,60,0.3567056585645877
XLM,1m,120,0.41587894240849166
XLM,15m,4,0.36220505569533823
XLM,15m,96,0.3768404333497537
XLM,4h,6,0.3037766494464744
XLM,4h,42,0.37880364566340763
XLM,4h,180,0.5853138143042158
XLM,1d,7,0.3345696848967137
XLM,1d,30,0.3813338841647441
XLM,1d,90,0.3300738614818619
XLM,1d,365,0.7839233621405521
LTC,1m,60,0.38713076737799035
LTC,1m,120,0.4274917756241924
LTC,15m,4,0.3445053828009442
LTC,15m,96,0.3773796827000917
LTC,4h,6,0.3139061742588619
LTC,4h,42,0.3707436759028948
LTC,4h,180,0.5404453891687213
LTC,1d,7,0.33301911450925714
LTC,1d,30,0.3518410981262229
LTC,1d,90,0.3577255028191414
LTC,1d,365,0.7847641608158179
TRX,1m,60,0.38491126819834853
TRX,1m,120,0.38249771481455985
TRX,15m,4,0.33480481168246323
TRX,15m,96,0.3533768546671554
TRX,4h,6,0.3400058628352356
TRX,4h,42,0.3550747474065241
TRX,4h,180,0.5336322645699988
TRX,1d,7,0.31681957881462564
TRX,1d,30,0.3687856575994872
TRX,1d,90,0.36332206291649927
TRX,1d,365,0.8245329245506072
ATOM,1m,60,0.33197730748097765
ATOM,1m,120,0.35529130457108316
ATOM,15m,4,0.3863907323910478
ATOM,15m,96,0.40549259796981507
ATOM,4h,6,0.2997684594875931
ATOM,4h,42,0.3897117763378478
ATOM,4h,180,0.5699306946698388
ATOM,1d,7,0.36760265999451003
ATOM,1d,30,0.3648046908889321
ATOM,1d,90,0.39182462465344015
ATOM,1d,365,0.7880592400727187
XMR,1m,60,0.3562090938598568
XMR,1m,120,0.3914618058205217
XMR,15m,4,0.4025054742146785
XMR,15m,96,0.36539526550547285
XMR,4h,6,0.33835370398830067
XMR,4h,42,0.3867020886504621
XMR,4h,180,0.5340655298042276
XMR,1d,7,0.3482995033852345
XMR,1d,30,0.3456653401721359
XMR,1d,90,0.3758744596295913
XMR,1d,365,0.8090674352833137
VET,1m,60,0.3791820306710232
VET,1m,120,0.3483417248121631
VET,15m,4,0.3491514978539211
VET,15m,96,0.3768437468253557
VET,4h,6,0.3023254434767708
VET,4h,42,0.37486364946514916
VET,4h,180,0.4976335905718613
VET,1d,7,0.3647199908729899
VET,1d,30,0.35459986891110074
VET,1d,90,0.36062026018424265
VET,1d,365,0.7909585833383133
ALGO,1m,60,0.39327445389705673
ALGO,1m,120,0.3936981248034235
ALGO,15m,4,0.36201119989467945
ALGO,15m,96,0.37561905111488814
ALGO,4h,6,0.28147695075403123
ALGO,4h,42,0.3454543714544226
ALGO,4h,180,0.5696398888281496
ALGO,1d,7,0.36334045916358737
ALGO,1d,30,0.3631281005641387
ALGO,1d,90,0.3994155471057883
ALGO,1d,365,0.7718253148574361
EOS,1m,60,0.38737556176105825
EOS,1m,120,0.39470269477430475
EOS,15m,4,0.3017924434640141
EOS,15m,96,0.3020787239410623
EOS,4h,6,0.31649610655343374
EOS,4h,42,0.38253286075665205
EOS,4h,180,0.5182098059173723
EOS,1d,7,0.33236730330426834
EOS,1d,30,0.3678399674712787
EOS,1d,90,0.35479338558060947
EOS,1d,365,0.8248109750525463
CHZ,1m,60,0.35700091478042495
CHZ,1m,120,0.3321665535413503
CHZ,15m,4,0.389329350428425
CHZ,15m,96,0.36214450195898273
CHZ,4h,6,0.263833254173392
CHZ,4h,42,0.3568813929518283
CHZ,4h,180,0.593493627963066
CHZ,1d,7,0.32650384015291534
CHZ,1d,30,0.3703771156739595
CHZ,1d,90,0.3281705492351279
CHZ,1d,365,0.8180877765536569
IOTA,1m,60,0.3783266315577595
IOTA,1m,120,0.37621330335335934
IOTA,15m,4,0.3157070332061058
IOTA,15m,96,0.3816980750978436
IOTA,4h,6,0.3085449881131356
IOTA,4h,42,0.38457966412980105
IOTA,4h,180,0.5235847747868528
IOTA,1d,7,0.320102124445811
IOTA,1d,30,0.35770903292060463
IOTA,1d,90,0.3392223318784674
IOTA,1d,365,0.7833175969765166
NEO,1m,60,0.36588910511991135
NEO,1m,120,0.4279912089013608
NEO,15m,4,0.3437169123202619
NEO,15m,96,0.3495201526004261
NEO,4h,6,0.31598593743974235
NEO,4h,42,0.3715084946100258
NEO,4h,180,0.4653475113481821
NEO,1d,7,0.3375202378831281
NEO,1d,30,0.3757807544585253
NEO,1d,90,0.3933796920018745
NEO,1d,365,0.7902531261024813
XTZ,1m,60,0.3713307143364347
XTZ,1m,120,0.3749546296150038
XTZ,15m,4,0.33189669798657995
XTZ,15m,96,0.3261268847210984
XTZ,4h,6,0.3127252549691315
XTZ,4h,42,0.38145507154666347
XTZ,4h,180,0.4813249039332884
XTZ,1d,7,0.3722640813142777
XTZ,1d,30,0.38215686385485914
XTZ,1d,90,0.34359289059554865
XTZ,1d,365,0.7559436480662618
